Distance,Nose,Middle,Rear
129,1,0,0
129,0,0,0
124,0,0,0
139,1,0,0
126,0,0,0
164,0,0,1
119,0,1,0
138,0,0,0
172,0,0,1
158,1,1,1
128,0,1,0
124,1,1,0
126,1,1,0
116,1,0,0
97,0,1,1
182,0,0,0
68,1,1,0
164,0,1,0
110,0,1,0
56,0,1,1
144,0,0,1
150,1,0,1
122,1,0,0
113,1,1,0
99,0,0,0
142,0,0,1
154,0,1,1
142,0,1,1
118,1,1,0
127,0,0,0
141,0,0,1
174,1,0,1
89,1,1,1
99,1,0,1
152,0,1,1
123,0,0,0
164,0,1,1
138,1,0,0
146,1,1,1
92,1,0,0
129,0,0,1
100,0,0,1
105,1,0,1
159,0,0,1
166,1,0,1
137,1,1,1
155,0,1,0
147,1,1,1
101,1,1,0
111,0,1,1
115,1,0,0
90,0,1,0
120,1,1,1
142,1,1,1
136,0,1,1
88,1,1,0
112,1,0,1
96,1,1,0
111,1,0,1
147,1,0,1
119,0,1,0
115,1,1,1
108,1,0,0
106,0,1,0
